Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2015-03-05,day,Getsafe,https://www.crunchbase.com/organization/safe,"Artificial Intelligence, Insurance, InsurTech",Getsafe is a mobile first insurance company for the digital age.,"Heidelberg, Baden-Wurttemberg, Germany",European Union (EU),Active,,2,Early Stage Venture,2015-11-23,12000000,USD,12000000,Series A,12700000,USD,12700000,,
2014-01-01,year,AimBrain,https://www.crunchbase.com/organization/aimbrain,"Artificial Intelligence, Biometrics, Biotechnology, Cyber Security, FinTech",AimBrain is a BIDaaS (Biometric Identity as-a-Service) platform with five proprietary biometric authentication modules,"London, England, United Kingdom",European Union (EU),Active,,4,Early Stage Venture,2017-06-19,4000000,GBP,5092271,Series A,4365000,GBP,5636346,,
2013-01-01,year,GeoSpock Ltd.,https://www.crunchbase.com/organization/geospock-ltd-,"Artificial Intelligence, Asset Management, Database, Geospatial, Information Services, Logistics, Mobile, Real Time, SaaS, Smart Cities","GeoSpock provides intelligent, software solutions that addresses essential data challenges related to space, time, scale and speed.","Cambridge, Cambridgeshire, United Kingdom",European Union (EU),Active,,4,Early Stage Venture,2018-02-22,6600000,USD,6600000,Series A,17460000,USD,17460000,,
2013-07-18,day,TruValue Labs,https://www.crunchbase.com/organization/truvalue,"FinTech, Information Technology, Language Learning, Machine Learning",TruValue Labs' products provide advanced analytics to create usable and real-time sustainability metrics for better investment decisions.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Early Stage Venture,2018-05-14,13600000,USD,13600000,Series A,13600000,USD,13600000,,
2014-03-01,day,Premonition,https://www.crunchbase.com/organization/premonition,"Artificial Intelligence, Information Services, Insurance, InsurTech, Legal, Predictive Analytics",Premonition - The World's Largest Litigation Database,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,,2,Seed,2015-11-04,2000000,USD,2000000,Seed,5000000,USD,5000000,,
2015-10-01,month,ForwardLane,https://www.crunchbase.com/organization/forwardlane,"Artificial Intelligence, Asset Management, Finance, Financial Services, Machine Learning, Natural Language Processing, PaaS, Wealth Management",ForwardLane is an AI FinTech company.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,Seed,2018-03-15,4750000,USD,4750000,Seed,6725000,USD,6725000,,
2015-01-01,year,Ascent Technologies Inc.,https://www.crunchbase.com/organization/ascent-technologies,"Artificial Intelligence, Compliance, Financial Services",Ascent Technologies is a RegTech Intelligence-as-a-Service company that uses Domain AI and cloud software to automate regulatory compliance.,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,3,Early Stage Venture,2018-03-01,6000000,USD,6000000,Series A,7445000,USD,7445000,,
2010-01-01,year,Cosmo Tech,https://www.crunchbase.com/organization/cosmo-company,"Analytics, Asset Management, B2B, Predictive Analytics, Software",Cosmo Tech is a global technology company that helps the C-suite make optimal business decisions.,"Lyon, Rhone-Alpes, France",European Union (EU),Active,,3,Early Stage Venture,2018-09-11,21000000,USD,21000000,Series B,29540943,USD,29540943,,
2016-02-01,month,Bambu,https://www.crunchbase.com/organization/bambu,"Artificial Intelligence, Financial Services, FinTech, Wealth Management",Bambu is a robo-advisor solution provider offering financial and consumer brands.,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,2,Early Stage Venture,2018-07-11,3000000,USD,3000000,Series A,3400000,USD,3400000,,
2015-09-01,month,savedroid,https://www.crunchbase.com/organization/savedroid,"Artificial Intelligence, Finance, Financial Services, FinTech, Mobile Apps",savedroid is a German fintech that specialized in artificial intelligence (AI) for Saving & Spending to optimize lifestyle.,"Frankfurt, Hessen, Germany",European Union (EU),Active,,5,,2018-04-18,50000000,USD,50000000,Initial Coin Offering,53108600,USD,53108600,,
2016-01-01,year,CLARA analytics,https://www.crunchbase.com/organization/clara-analytics,"Artificial Intelligence, Computer, Insurance, InsurTech, Machine Learning, Predictive Analytics, SaaS",A leading predictive analytics company for workers’ compensation,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,2,Early Stage Venture,2018-01-04,11500000,USD,11500000,Series A,11500000,USD,11500000,,
2014-08-04,day,Accern,https://www.crunchbase.com/organization/accern,"Analytics, Artificial Intelligence, Big Data, Finance, FinTech",Accern is a data design company that helps automate research and data analysis processes within organizations.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,Seed,2017-11-10,3000000,USD,3000000,Seed,4435000,USD,4435000,,
2014-11-18,day,Text IQ,https://www.crunchbase.com/organization/text-iq,"Artificial Intelligence, Compliance, Enterprise Software, Information Technology, Machine Learning",Text IQ uses groundbreaking AI technology to protect companies from high-stakes legal and compliance disasters.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,2,Early Stage Venture,2016-09-20,3000000,USD,3000000,Series A,3000000,USD,3000000,,
2016-08-18,day,NS8 Inc,https://www.crunchbase.com/organization/ns8-inc,"Big Data, Cyber Security, E-Commerce, Fraud Detection, Machine Learning, Security","NS8 is an abuse, fraud, and user experience protection platform.","Las Vegas, Nevada, United States",Western US,Active,,5,Seed,2017-11-20,7500000,USD,7500000,Seed,8875000,USD,8875000,,
2001-01-01,year,China Rapid Finance,https://www.crunchbase.com/organization/china-rapid-finance,"Artificial Intelligence, Big Data, FinTech, Internet, Marketplace, Predictive Analytics",China Rapid Finance is an online consumer lending marketplace serving online users and China’s emerging middle class.,"Shanghai, Shanghai, China",Asia-Pacific (APAC),Active,Unicorn,4,IPO,2016-11-15,75000000,USD,75000000,Series C,172928140,USD,172928140,,
2015-01-01,year,Flock Ltd.,https://www.crunchbase.com/organization/flockcover,"Analytics, Artificial Intelligence, Big Data, Drones, Insurance, InsurTech, Software","Flock is a London-based, VC- and government-backed insurtech company building a Big Data driven risk intelligence platform for drones.","London, England, United Kingdom",European Union (EU),Active,,4,Seed,2018-05-29,2250000,GBP,2982198,Seed,2750000,GBP,3606922,,
2014-11-30,day,Tookitaki,https://www.crunchbase.com/organization/tookitaki,"Compliance, Finance, FinTech, Machine Learning",Tookitaki provides enterprise software solutions to enable sustainable regulatory compliance programs in financial services industry. ,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,6,Seed,2017-09-06,20000,USD,20000,Seed,4245000,USD,4245000,,
2006-01-01,day,Aggregate Knowledge,https://www.crunchbase.com/organization/aggregateknowledge,"Advertising, Big Data, Predictive Analytics, Risk Management",Aggregate Knowledge is a media intelligence company that enables advertisers to reach the highest performing customers on a single platform.,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,8,M&A,2013-04-01,3266100,USD,3266100,Venture - Series Unknown,74311925,USD,74311925,1,"Made Acquisitions, Was Acquired"
2012-01-01,year,CreditVidya,https://www.crunchbase.com/organization/creditvidya,"Credit, Financial Services, FinTech, Machine Learning, Risk Management",CreditVidya offers alternate data based credit scores for underwriting first time borrowers using machine learning and big data analytics.,"Mumbai, Maharashtra, India",Asia-Pacific (APAC),Active,,2,Early Stage Venture,2017-09-06,5000000,USD,5000000,Series B,7000000,USD,7000000,,
2014-01-01,year,Compliance.ai,https://www.crunchbase.com/organization/compliance-ai,"Compliance, Financial Services, Information Technology, Machine Learning, Software",Compliance.ai's mission is to empower Compliance professionals with the most comprehensive regulatory change management platform. ,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,,2017-06-12,4000000,USD,4000000,Venture - Series Unknown,4000000,USD,4000000,,
2012-01-01,year,Element Inc,https://www.crunchbase.com/organization/element-inc,"Artificial Intelligence, Biometrics, Identity Management",Element develops and distributes mobile-based platforms for digital identity.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,Early Stage Venture,2018-04-11,12000000,USD,12000000,Series A,18000000,USD,18000000,,
2016-01-01,year,"Sigma Ratings, Inc.",https://www.crunchbase.com/organization/sigma-ratings,"Artificial Intelligence, Compliance, Information Technology, Machine Learning, SaaS",Sigma Ratings uses AI to assess company-level non-credit risks.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,Seed,2018-07-02,2400000,USD,2400000,Seed,3100000,USD,3100000,,
2015-01-01,year,Arkera,https://www.crunchbase.com/organization/arkera,"Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning, Personal Finance, Software, Wealth Management",Artificial Intelligence,"London, England, United Kingdom",European Union (EU),Active,,2,,2018-04-05,4000000,GBP,5602531,Undisclosed,8000000,GBP,11112613,,
2013-01-01,year,Quantemplate,https://www.crunchbase.com/organization/quantemplate,"Analytics, Artificial Intelligence, Data Integration, Enterprise Software, InsurTech, Machine Learning, SaaS",Machine learning data transformation and analytics solution for insurance professionals,"London, England, United Kingdom",European Union (EU),Active,,5,Early Stage Venture,2017-12-12,2500000,GBP,3329856,Series A,13587307,USD,13587307,,
2014-01-01,year,Trooly,https://www.crunchbase.com/organization/troo-ly,"FinTech, Machine Learning, Risk Management, SaaS, Sharing Economy","Trooly delivers Instant Trust™ services that verify, screen and predict trustworthy relationships and interactions. #FinTech #P2P","Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,1,M&A,2016-06-20,10000000,USD,10000000,Series A,10000000,USD,10000000,,Was Acquired
2017-01-01,year,Artivatic.ai,https://www.crunchbase.com/organization/artivatic-data-labs,"Auto Insurance, Commercial Insurance, Computer, FinTech, Health Care, Health Insurance, Insurance, Internet of Things, Lending, Life Insurance, Machine Learning, Property Insurance, Quality Assurance, Software","Artivatic's patent pending technology solves complex problems in  Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.","Bangalore, Karnataka, India",Asia-Pacific (APAC),Active,,3,Seed,2017-09-26,10000000,INR,153010,Angel,10000000,INR,153010,,
2010-01-01,year,Cignifi,https://www.crunchbase.com/organization/cignifi,"Big Data, Credit, Emerging Markets, FinTech, Machine Learning, Mobile, Telecommunications",Cignifi uses mobile behavior data in emerging markets to deliver credit scores and marketing tools to telecom and financial companies.,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,6,,2018-07-16,4250000,USD,4250000,Venture - Series Unknown,11954120,USD,11954120,,
2009-01-01,year,Sky-Futures,https://www.crunchbase.com/organization/sky-futures,"Artificial Intelligence, Asset Management, Consumer Electronics, Energy, Enterprise Applications, Enterprise Software, Oil and Gas, Robotics",Sky-Futures offer end-to-end drone-based inspection services (incl. software and drone training) to the global industrial markets since 2009,"London, England, United Kingdom",European Union (EU),Active,,3,Early Stage Venture,2017-08-31,4000000,USD,4000000,Series B,13523126,USD,13523126,,
2015-01-01,year,Naborly,https://www.crunchbase.com/organization/naborly,"Artificial Intelligence, Big Data, Credit Bureau, FinTech, Real Estate",Intelligent credit reporting and scores. ,"Toronto, Ontario, Canada",Great Lakes,Active,,1,Seed,2016-10-01,2400000,USD,2400000,Angel,2400000,USD,2400000,1,Made Acquisitions
